ID,URL,type,Email,Job_title,Category,Location,job_poster,Subject,Resume_path,Cover_letter,Email_template,Sending_date,Created_date,Is_sent
#3427819,https://www.jobbank.gc.ca/jobsearch/jobposting/45515501;jsessionid=DB94D2E77C6F2B4A3845CA48E5F926E1.jobsearch74?source=searchresults,Approved LMIA,ssisimit@pure-flavor.com,general labourer - farm,"Agriculture, Food & Resource Labour","Merlin, ON, N0P 1W0",Pure Flavor Farms LP,Applying for the general labourer - farm Opportunity,resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - general labourer - farm - Abdellah Gram (#3427819).pdf,emailTemplates/Template5.txt,12/5/2025,12/3/2025,Not Sent
02db4dcf,https://www.jobbank.gc.ca/jobsearch/jobposting/45231831?source=searchresults,Approved LMIA,clearbluefarmshr@gmail.com,general labourer - farm,"Agriculture, Food & Resource Labour","Abbotsford, British Columbia",Clear Blue Farms & Nursery Inc,Regarding the general labourer - farm Opening,resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - general labourer - farm - Abdellah Gram (02db4dcf).pdf,emailTemplates/Template5.txt,12/5/2025,12/3/2025,Not Sent
b0e56440,https://www.jobbank.gc.ca/jobsearch/jobposting/46116426?source=searchresults,Approved LMIA,recrutement@arimecanada.com,"cleaner, vehicle",Cleaners (Industrial & Light-Duty),Canada,Arime Canada,"Regarding the cleaner, vehicle Opening",resumes/Cleaner_vehicle_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - cleaner, vehicle - Abdellah Gram (b0e56440).pdf",emailTemplates/Template2.txt,12/12/2025,12/3/2025,Not Sent
#3378271,https://www.jobbank.gc.ca/jobsearch/jobposting/44854102?source=searchresults,Approved LMIA,recrutement@arimecanada.com,tank car cleaner,Cleaners (Industrial & Light-Duty),"Saint-Jean-sur-Richelieu, QC, J2Y 1A4",Transport O-Claire,Candidate for tank car cleaner Position,resumes/Cleaner_vehicle_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - tank car cleaner - Abdellah Gram (#3378271).pdf,emailTemplates/Template5.txt,12/12/2025,12/3/2025,Not Sent
3e2e9508,https://www.jobbank.gc.ca/jobsearch/jobposting/44769130?source=searchresults,Approved LMIA,ramadapamanagement@gmail.com,light duty cleaner,Cleaners (Industrial & Light-Duty),"503 Cope Way
Saskatoon, SK",Ramada Prince Albert,Candidate for light duty cleaner Position,resumes/Cleaner_vehicle_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - light duty cleaner - Abdellah Gram (3e2e9508).pdf,emailTemplates/Template5.txt,12/12/2025,12/3/2025,Not Sent
cfa4178c,https://www.jobbank.gc.ca/jobsearch/jobposting/44906028?source=searchresults,Approved LMIA,admin@procareimmigration.ca,light duty cleaner,Cleaners (Industrial & Light-Duty),Central Parkway Mall,Travelodge by Wyndham,Application for light duty cleaner,resumes/Cleaner_vehicle_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - light duty cleaner - Abdellah Gram (cfa4178c).pdf,emailTemplates/Template3.txt,12/12/2025,12/3/2025,Not Sent
96bf9d8d,https://www.jobbank.gc.ca/jobsearch/jobposting/45551227;jsessionid=DB94D2E77C6F2B4A3845CA48E5F926E1.jobsearch74?source=searchresults,Approved LMIA,bbapiaries@gmail.com,apiary worker,"Agriculture, Food & Resource Labour",Manitoba,Bee Blossom Apiaries,Regarding the apiary worker Opening,resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - apiary worker - Abdellah Gram (96bf9d8d).pdf,emailTemplates/Template5.txt,12/5/2025,12/3/2025,Not Sent
#3378399,https://www.jobbank.gc.ca/jobsearch/jobposting/44849520?source=searchresults,Approved LMIA,seafoodjobs@ptpimmigration.com,fish processing plant labourer,"Agriculture, Food & Resource Labour","Arcadia, NS, B0W 1B0",Hervic Enterprises Limited,Application for fish processing plant labourer,resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - fish processing plant labourer - Abdellah Gram (#3378399).pdf,emailTemplates/Template1.txt,12/5/2025,12/3/2025,Not Sent
#3372417,https://www.jobbank.gc.ca/jobsearch/jobposting/44806680?source=searchresults,Approved LMIA,recrutement@arimecanada.com,"labourer, logging","Agriculture, Food & Resource Labour","Lac-des-Aigles, QC, G0K 1V0",Coopérative Forestière Haut Plan Vert,"Candidate for labourer, logging Position",resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - labourer, logging - Abdellah Gram (#3372417).pdf",emailTemplates/Template3.txt,12/5/2025,12/3/2025,Not Sent
#3371121,https://www.jobbank.gc.ca/jobsearch/jobposting/44799963?source=searchresults,Approved LMIA,recrutement@arimecanada.com,labourer - wood processing,"Agriculture, Food & Resource Labour","Saint-Alexis-de-Montcalm, QC, J0K 1T0",Leo Mailhot Inc,Regarding the labourer - wood processing Opening,resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - labourer - wood processing - Abdellah Gram (#3371121).pdf,emailTemplates/Template5.txt,12/5/2025,12/3/2025,Not Sent
595571d1,https://www.jobbank.gc.ca/jobsearch/jobposting/44953175?source=searchresults,Approved LMIA,andre@inoxindustries.com,apiary supervisor,"Agriculture, Food & Resource Labour"," Brampton, ON",Inox Industries,Candidate for apiary supervisor Position,resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - apiary supervisor - Abdellah Gram (595571d1).pdf,emailTemplates/Template5.txt,12/5/2025,12/3/2025,Not Sent
#3385263,https://www.jobbank.gc.ca/jobsearch/jobposting/44893890?source=searchresults,Approved LMIA,nicole@coastalvokey.com,butcher - wholesale,"Agriculture, Food & Resource Labour","King's Point, NL, A0J 1H0",Coastline Adventures Inc,Application for butcher - wholesale,resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - butcher - wholesale - Abdellah Gram (#3385263).pdf,emailTemplates/Template2.txt,12/5/2025,12/3/2025,Not Sent
#3383936,https://www.jobbank.gc.ca/jobsearch/jobposting/44892367?source=searchresults,Approved LMIA,recrutement@dubreton.com,"butcher, industrial","Agriculture, Food & Resource Labour","Rivière-du-Loup, QC, G5R 5X8",Les Viandes duBreton,"Interest in Your butcher, industrial Role",resumes/Agriculture_Food_and_Resource_Labour_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - butcher, industrial - Abdellah Gram (#3383936).pdf",emailTemplates/Template1.txt,12/5/2025,12/3/2025,Not Sent
