ID,URL,type,Email,Job_title,Category,Location,job_poster,Subject,Resume_path,Cover_letter,Email_template,Sending_date,Created_date,Is_sent
5cefe9326,https://www.jobbank.gc.ca/jobsearch/jobposting/44885778?source=searchresults,Approved LMIA,recrutement@arimecanada.com,grounds maintenance labourer,"Landscaping, Grounds & Outdoor Work",Canada,Arime Canada,Application for grounds maintenance labourer,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - grounds maintenance labourer - Abdellah Gram (5cefe9326).pdf,emailTemplates/Template4.txt,12/3/2025,12/2/2025,Not Sent
#3377480,https://www.jobbank.gc.ca/jobsearch/jobposting/44854409?source=searchresults,Approved LMIA,recrutement@arimecanada.com,grounds maintenance labourer,"Landscaping, Grounds & Outdoor Work","Saint-Thomas, QC, J0K 3L0",Gazons Verkest inc,Regarding the grounds maintenance labourer Opening,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - grounds maintenance labourer - Abdellah Gram (#3377480).pdf,emailTemplates/Template4.txt,12/3/2025,12/2/2025,Not Sent
#3378251,https://www.jobbank.gc.ca/jobsearch/jobposting/44847110?source=searchresults,Approved LMIA,recrutement@arimecanada.com,landscape worker,"Landscaping, Grounds & Outdoor Work","Donnacona, QC, G3M 0B5",Bertrand Paysagiste inc,Candidate for landscape worker Position,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - landscape worker - Abdellah Gram (#3378251).pdf,emailTemplates/Template4.txt,12/3/2025,12/2/2025,Not Sent
#3376395,https://www.jobbank.gc.ca/jobsearch/jobposting/44836210?source=searchresults,Approved LMIA,recrutement@arimecanada.com,grounds maintenance labourer,"Landscaping, Grounds & Outdoor Work","Mont-Saint-Grégoire, QC, J0J 1K0",Les Gazons Michel inc.,Regarding the grounds maintenance labourer Opening,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - grounds maintenance labourer - Abdellah Gram (#3376395).pdf,emailTemplates/Template4.txt,12/3/2025,12/2/2025,Not Sent
310c03974,https://www.jobbank.gc.ca/jobsearch/jobposting/44799934?source=searchresults,Approved LMIA,recrutement@arimecanada.com,grounds maintenance labourer,"Landscaping, Grounds & Outdoor Work",Canada,Arime Canada,Interest in Your grounds maintenance labourer Role,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - grounds maintenance labourer - Abdellah Gram (310c03974).pdf,emailTemplates/Template4.txt,12/3/2025,12/2/2025,Not Sent
#3371079,https://www.jobbank.gc.ca/jobsearch/jobposting/44799923?source=searchresults,Approved LMIA,recrutement@arimecanada.com,general labourer - landscaping,"Landscaping, Grounds & Outdoor Work","Saint-Joseph-de-Beauce, QC, G0S 2V0",Giga Aménagement inc,Candidate for general labourer - landscaping Position,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - general labourer - landscaping - Abdellah Gram (#3371079).pdf,emailTemplates/Template4.txt,12/3/2025,12/2/2025,Not Sent
#3371040,https://www.jobbank.gc.ca/jobsearch/jobposting/44799629?source=searchresults,Approved LMIA,recrutement@arimecanada.com,grounds maintenance labourer,"Landscaping, Grounds & Outdoor Work","Boischatel, QC, G0A 1H0",Drouin et Fils entretien paysager inc,Regarding the grounds maintenance labourer Opening,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - grounds maintenance labourer - Abdellah Gram (#3371040).pdf,emailTemplates/Template5.txt,12/3/2025,12/2/2025,Not Sent
#3369839,https://www.jobbank.gc.ca/jobsearch/jobposting/44797193?source=searchresults,Approved LMIA,recrutement@arimecanada.com,general labourer - landscaping,"Landscaping, Grounds & Outdoor Work","Valcourt, QC, J0E 2L0",Les Entreprises Stéphane Daigneault inc,Applying for the general labourer - landscaping Opportunity,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - general labourer - landscaping - Abdellah Gram (#3369839).pdf,emailTemplates/Template5.txt,12/3/2025,12/2/2025,Not Sent
#3369799,https://www.jobbank.gc.ca/jobsearch/jobposting/44792050?source=searchresults,Approved LMIA,recrutement@arimecanada.com,grounds maintenance labourer,"Landscaping, Grounds & Outdoor Work","Saint-Jean-Baptiste, QC, J0L 2B0",Le Gazonier,Application for grounds maintenance labourer,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - grounds maintenance labourer - Abdellah Gram (#3369799).pdf,emailTemplates/Template5.txt,12/3/2025,12/2/2025,Not Sent
#3369421,https://www.jobbank.gc.ca/jobsearch/jobposting/44789996?source=searchresults,Approved LMIA,recrutement@arimecanada.com,grounds maintenance labourer,"Landscaping, Grounds & Outdoor Work","Saint-Lambert-de-Lauzon, QC, G0S 2W0",Beaucèdre Québec inc,Interest in Your grounds maintenance labourer Role,resumes/Abdellah_Gram_Groundskeeping_technician_resume.pdf,coverLetters/Cover letter - grounds maintenance labourer - Abdellah Gram (#3369421).pdf,emailTemplates/Template5.txt,12/3/2025,12/2/2025,Not Sent
