ID,URL,type,Email,Job_title,Category,Location,job_poster,Subject,Resume_path,Cover_letter,Email_template,Sending_date,Created_date,Is_sent
ad662554,https://www.jobbank.gc.ca/jobsearch/jobposting/45305406;jsessionid=DB94D2E77C6F2B4A3845CA48E5F926E1.jobsearch74?source=searchresults,Approved LMIA,slambert@awl1947.com,awning installer,"Installation, Assembly & Manufacturing","Quebec City, Quebec, Canada, G1M2X5",Serge Lambert,Regarding the awning installer Opening,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - awning installer - Abdellah Gram (ad662554).pdf,emailTemplates/Template4.txt,12/4/2025,12/3/2025,Not Sent
#3369783,https://www.jobbank.gc.ca/jobsearch/jobposting/44854073?source=searchresults,Approved LMIA,recrutement@arimecanada.com,"installer, swimming pool","Installation, Assembly & Manufacturing","Victoriaville, QC, G6P 2X2",Les Installations Horterra inc,"Interest in Your installer, swimming pool Role",resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - installer, swimming pool - Abdellah Gram (#3369783).pdf",emailTemplates/Template4.txt,12/4/2025,12/3/2025,Not Sent
#3376171,https://www.jobbank.gc.ca/jobsearch/jobposting/44835407?source=searchresults,Approved LMIA,recrutement@arimecanada.com,fence installer,"Installation, Assembly & Manufacturing","Québec, QC, G2M 1L5",Clôture Avantage Plus inc,Applying for the fence installer Opportunity,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - fence installer - Abdellah Gram (#3376171).pdf,emailTemplates/Template4.txt,12/4/2025,12/3/2025,Not Sent
236f5955,https://www.jobbank.gc.ca/jobsearch/jobposting/44797603?source=searchresults,Approved LMIA,info@puisatiersexperts.com,pump-installer and repairer helper,"Installation, Assembly & Manufacturing","682 Dufferin Street, Quebec, Canada",Puisatiers Experts,Candidate for pump-installer and repairer helper Position,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - pump-installer and repairer helper - Abdellah Gram (236f5955).pdf,emailTemplates/Template4.txt,12/4/2025,12/3/2025,Not Sent
#3369855,https://www.jobbank.gc.ca/jobsearch/jobposting/44797189?source=searchresults,Approved LMIA,recrutement@arimecanada.com,"installer, swimming pool","Installation, Assembly & Manufacturing","Cumberland, ON, K4C 1K7",Hbpools inc,"Regarding the installer, swimming pool Opening",resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - installer, swimming pool - Abdellah Gram (#3369855).pdf",emailTemplates/Template4.txt,12/4/2025,12/3/2025,Not Sent
af1e6750,https://www.jobbank.gc.ca/jobsearch/jobposting/44775308?source=searchresults,Approved LMIA,infinitesupplieshiring@gmail.com,floor covering installer,"Installation, Assembly & Manufacturing","Brampton, Ontario, Canada",INFINITE BUILDING SUPPLIES,Application for floor covering installer,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - floor covering installer - Abdellah Gram (af1e6750).pdf,emailTemplates/Template4.txt,12/4/2025,12/3/2025,Not Sent
2e546711,https://www.jobbank.gc.ca/jobsearch/jobposting/44753920?source=searchresults,Approved LMIA,recrutement@arimecanada.com,elemental worker - packaging,"Installation, Assembly & Manufacturing",Canada,Arime Canada,Candidate for elemental worker - packaging Position,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - elemental worker - packaging - Abdellah Gram (2e546711).pdf,emailTemplates/Template5.txt,12/4/2025,12/3/2025,Not Sent
a238144d,https://www.jobbank.gc.ca/jobsearch/jobposting/44967625?source=searchresults,Approved LMIA,hr@conetec.com,production supervisor - electronics manufacturing,"Installation, Assembly & Manufacturing",Canada,ConeTec Investigations,Application for production supervisor - electronics manufacturing,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - production supervisor - electronics manufacturing - Abdellah Gram (a238144d).pdf,emailTemplates/Template5.txt,12/4/2025,12/3/2025,Not Sent
6859c490,https://www.jobbank.gc.ca/jobsearch/jobposting/44948563?source=searchresults,Approved LMIA,griffinrdmedclinic@gmail.com,"assembler, agricultural implements","Installation, Assembly & Manufacturing",Canada,Grffin Road Medical Clinic,"Candidate for assembler, agricultural implements Position",resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - assembler, agricultural implements - Abdellah Gram (6859c490).pdf",emailTemplates/Template5.txt,12/4/2025,12/3/2025,Not Sent
48a8b1d0,https://www.jobbank.gc.ca/jobsearch/jobposting/44920150?source=searchresults,Approved LMIA,arigatoykn@gmail.com,"assembler, aluminum doors and windows","Installation, Assembly & Manufacturing","Yorkton, Saskatchewan, Canada",Arigato Sushi Japanese Restaurant,"Regarding the assembler, aluminum doors and windows Opening",resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - assembler, aluminum doors and windows - Abdellah Gram (48a8b1d0).pdf",emailTemplates/Template5.txt,12/4/2025,12/3/2025,Not Sent
#3388233,https://www.jobbank.gc.ca/jobsearch/jobposting/44916700?source=searchresults,Approved LMIA,maryanne@roastsandwichshop.com,automotive dismantler,"Installation, Assembly & Manufacturing","Victoria, BC, V8T 4P1",Roast Meat & Sandwich Shop,Applying for the automotive dismantler Opportunity,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - automotive dismantler - Abdellah Gram (#3388233).pdf,emailTemplates/Template5.txt,12/4/2025,12/3/2025,Not Sent
#3368983,https://www.jobbank.gc.ca/jobsearch/jobposting/44833103?source=searchresults,Approved LMIA,melissaf@elran.com,dispatch logistician,"Installation, Assembly & Manufacturing","Pointe-Claire, QC, H9R 1B4",Ameublement Elran,Interest in Your dispatch logistician Role,resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,coverLetters/Cover letter - dispatch logistician - Abdellah Gram (#3368983).pdf,emailTemplates/Template5.txt,12/4/2025,12/3/2025,Not Sent
#3386813,https://www.jobbank.gc.ca/jobsearch/jobposting/44912855?source=searchresults,Approved LMIA,louise.gagne@fenetresaltek.ca,"assembler, aluminum doors and windows","Installation, Assembly & Manufacturing","Saint-Joseph-de-Beauce, QC, G0S 2V0",Altek Portes et Fenêtres,"Application for assembler, aluminum doors and windows",resumes/Installation_Assembly_and_Manufacturing_Resume_Abdellah Gram.pdf,"coverLetters/Cover letter - assembler, aluminum doors and windows - Abdellah Gram (#3386813).pdf",emailTemplates/Template5.txt,12/4/2025,12/3/2025,Not Sent
